Date,Fiscal Year,Fiscal Quarter,Fiscal Period,Fiscal Year-Quarter,Fiscal Year-Period,Fiscal Year Sort,Fiscal Quarter Sort,Fiscal Period Sort,Fiscal Year-Quarter Sort,Fiscal Year-Period Sort
09-Nov-23,2023,Q4,P11,2023-Q4,2023-P11,1,4,2,1,2
10-Nov-23,2023,Q4,P11,2023-Q4,2023-P11,1,4,2,1,2
11-Nov-23,2023,Q4,P11,2023-Q4,2023-P11,1,4,2,1,2
12-Nov-23,2023,Q4,P11,2023-Q4,2023-P11,1,4,2,1,2
13-Nov-23,2023,Q4,P11,2023-Q4,2023-P11,1,4,2,1,2
14-Nov-23,2023,Q4,P11,2023-Q4,2023-P11,1,4,2,1,2
15-Nov-23,2023,Q4,P11,2023-Q4,2023-P11,1,4,2,1,2
16-Nov-23,2023,Q4,P11,2023-Q4,2023-P11,1,4,2,1,2
17-Nov-23,2023,Q4,P11,2023-Q4,2023-P11,1,4,2,1,2
18-Nov-23,2023,Q4,P11,2023-Q4,2023-P11,1,4,2,1,2
19-Nov-23,2023,Q4,P11,2023-Q4,2023-P11,1,4,2,1,2
20-Nov-23,2023,Q4,P11,2023-Q4,2023-P11,1,4,2,1,2
21-Nov-23,2023,Q4,P11,2023-Q4,2023-P11,1,4,2,1,2
22-Nov-23,2023,Q4,P11,2023-Q4,2023-P11,1,4,2,1,2
23-Nov-23,2023,Q4,P11,2023-Q4,2023-P11,1,4,2,1,2
24-Nov-23,2023,Q4,P11,2023-Q4,2023-P11,1,4,2,1,2
25-Nov-23,2023,Q4,P11,2023-Q4,2023-P11,1,4,2,1,2
26-Nov-23,2023,Q4,P11,2023-Q4,2023-P11,1,4,2,1,2
27-Nov-23,2023,Q4,P11,2023-Q4,2023-P11,1,4,2,1,2
28-Nov-23,2023,Q4,P11,2023-Q4,2023-P11,1,4,2,1,2
29-Nov-23,2023,Q4,P11,2023-Q4,2023-P11,1,4,2,1,2
30-Nov-23,2023,Q4,P11,2023-Q4,2023-P11,1,4,2,1,2
01-Dec-23,2023,Q4,P12,2023-Q4,2023-P12,1,4,1,1,1
02-Dec-23,2023,Q4,P12,2023-Q4,2023-P12,1,4,1,1,1
03-Dec-23,2023,Q4,P12,2023-Q4,2023-P12,1,4,1,1,1
04-Dec-23,2023,Q4,P12,2023-Q4,2023-P12,1,4,1,1,1
05-Dec-23,2023,Q4,P12,2023-Q4,2023-P12,1,4,1,1,1
06-Dec-23,2023,Q4,P12,2023-Q4,2023-P12,1,4,1,1,1
07-Dec-23,2023,Q4,P12,2023-Q4,2023-P12,1,4,1,1,1
08-Dec-23,2023,Q4,P12,2023-Q4,2023-P12,1,4,1,1,1
09-Dec-23,2023,Q4,P12,2023-Q4,2023-P12,1,4,1,1,1
10-Dec-23,2023,Q4,P12,2023-Q4,2023-P12,1,4,1,1,1
11-Dec-23,2023,Q4,P12,2023-Q4,2023-P12,1,4,1,1,1
12-Dec-23,2023,Q4,P12,2023-Q4,2023-P12,1,4,1,1,1
13-Dec-23,2023,Q4,P12,2023-Q4,2023-P12,1,4,1,1,1
14-Dec-23,2023,Q4,P12,2023-Q4,2023-P12,1,4,1,1,1
15-Dec-23,2023,Q4,P12,2023-Q4,2023-P12,1,4,1,1,1
16-Dec-23,2023,Q4,P12,2023-Q4,2023-P12,1,4,1,1,1
17-Dec-23,2023,Q4,P12,2023-Q4,2023-P12,1,4,1,1,1
18-Dec-23,2023,Q4,P12,2023-Q4,2023-P12,1,4,1,1,1
19-Dec-23,2023,Q4,P12,2023-Q4,2023-P12,1,4,1,1,1
20-Dec-23,2023,Q4,P12,2023-Q4,2023-P12,1,4,1,1,1
21-Dec-23,2023,Q4,P12,2023-Q4,2023-P12,1,4,1,1,1
22-Dec-23,2023,Q4,P12,2023-Q4,2023-P12,1,4,1,1,1
23-Dec-23,2023,Q4,P12,2023-Q4,2023-P12,1,4,1,1,1
24-Dec-23,2023,Q4,P12,2023-Q4,2023-P12,1,4,1,1,1
25-Dec-23,2023,Q4,P12,2023-Q4,2023-P12,1,4,1,1,1
26-Dec-23,2023,Q4,P12,2023-Q4,2023-P12,1,4,1,1,1
27-Dec-23,2023,Q4,P12,2023-Q4,2023-P12,1,4,1,1,1
28-Dec-23,2023,Q4,P12,2023-Q4,2023-P12,1,4,1,1,1
29-Dec-23,2023,Q4,P12,2023-Q4,2023-P12,1,4,1,1,1
30-Dec-23,2023,Q4,P12,2023-Q4,2023-P12,1,4,1,1,1
31-Dec-23,2023,Q4,P12,2023-Q4,2023-P12,1,4,1,1,1
